image,vehicle_count,traffic_level
screenshot_29811_jpg.rf.437232d7f824cf21338405e5a5b4284b.jpg,0,Low
37 (28).jpg,0,Low
35 (122).jpg,0,Low
image47_png_jpg.rf.75720d667f1a1ad75ff23f31a5e6436b.jpg,13,Moderate
35 (50).jpg,0,Low
duque_de_caxias-2300_png_jpg.rf.f4138ffc186611f0075c32d24129f7de.jpg,17,High
aguanambi-3840_png_jpg.rf.e81264f835d8c15a3d578aa0554a9975.jpg,30,High
40 (718).jpg,0,Low
40 (724).jpg,1,Low
35 (84).jpg,3,Low
image92_png_jpg.rf.9dc255607ab316d0a1be7d7d244ef073.jpg,2,Low
duque_de_caxias-1300_png_jpg.rf.bedb30f8d1e8eab461acf70aa4cf9907.jpg,17,High
image07_png_jpg.rf.337fd5d7f0c03747972168aeb8f286a9.jpg,31,High
image68_png_jpg.rf.44e19a08eb08ad8b35863b46f74a4a30.jpg,1,Low
40 (7).jpg,0,Low
35 (74).jpg,2,Low
ant_sales-11740_png_jpg.rf.4d7c76301215a7b5e8946757a22f6696.jpg,5,Low
39 (36).jpg,2,Low
35 (27).jpg,1,Low
35 (76).jpg,2,Low
39 (12).jpg,0,Low
image11_png_jpg.rf.fc3552ed0b2472b3cf27532253bcb974.jpg,39,High
40 (19).jpg,1,Low
35 (51).jpg,6,Low
duque_de_caxias-1035_png_jpg.rf.313fa2718fd690c3fc1c7df404e37dda.jpg,14,Moderate
aguanambi-5145_png_jpg.rf.3f1acd9087fddc94ce2b2c298cb60040.jpg,21,High
image44_png_jpg.rf.2123dd144606f16b090ccf6c7d4640bf.jpg,17,High
40 (28).jpg,1,Low
image62_png_jpg.rf.6898b7d417bb9a3e7cf40f36f75c938d.jpg,1,Low
screenshot_3427_jpg.rf.e1a4fdeb16c3dc963e9a71ff9e3c7bb5.jpg,4,Low
39 (8).jpg,1,Low
ant_sales-11715_png_jpg.rf.9024275e84059155c1915d56b3d1083d.jpg,5,Low
35 (87).jpg,2,Low
35 (105).jpg,0,Low
35 (109).jpg,1,Low
ant_sales-11985_png_jpg.rf.770e7ae0c76d7e946a3b00e086f74a00.jpg,4,Low
screenshot_16845_jpg.rf.540c7a18ae7d15b4255b103331501bed.jpg,0,Low
duque_de_caxias-115_png_jpg.rf.275fbdccb6a6ca848ac3cf3ae771946e.jpg,25,High
35 (118).jpg,0,Low
40 (700).jpg,0,Low
37 (29).jpg,0,Low
40 (709).jpg,0,Low
35 (57).jpg,2,Low
35 (49).jpg,1,Low
39 (13).jpg,1,Low
35 (30).jpg,0,Low
screenshot_12223_jpg.rf.2eef1aa7144235c2f933c29f40e0a7ec.jpg,4,Low
ant_sales-10495_png_jpg.rf.126cf8442bcbe8880c7c10958c36f8da.jpg,8,Moderate
image92_png_jpg.rf.f63d6d7fe05abc81ca91184d2507cd9d.jpg,2,Low
35 (144).jpg,2,Low
37 (23).jpg,1,Low
ant_sales-1200_png_jpg.rf.51f0c083d921102dbbf4c46ea7e65a81.jpg,6,Low
35 (140).jpg,1,Low
35 (14).jpg,0,Low
aguanambi-5160_png_jpg.rf.a31f40322368dfb1379bd3534859ae68.jpg,9,Moderate
36 (6).jpg,0,Low
ant_sales-11110_png_jpg.rf.e5383fd1bacdd9c0807cb8183d569a5a.jpg,6,Low
aguanambi-1000_png_jpg.rf.7179a0df58ad6448028bc5bc21dca41e.jpg,21,High
35 (89).jpg,2,Low
40 (20).jpg,1,Low
37 (25).jpg,4,Low
36 (8).jpg,0,Low
image81_png_jpg.rf.0212cbe07936d30a8b71457ceeab9033.jpg,9,Moderate
35 (135).jpg,1,Low
screenshot_18497_jpg.rf.e3ef7034823309e4379b419048f640bf.jpg,6,Low
39 (5).jpg,1,Low
37 (22).jpg,0,Low
duque_de_caxias-2020_png_jpg.rf.896528d687c0431a5ba15421ed1d6452.jpg,17,High
ant_sales-10110_png_jpg.rf.a5602c76417d103234fc3a3af6a005c8.jpg,9,Moderate
duque_de_caxias-45_png_jpg.rf.997aa3902d2810cec0ed0da3b6fdb4e0.jpg,9,Moderate
ant_sales-12185_png_jpg.rf.bb2d3dfac9d8c571f84ad92229d0adfd.jpg,10,Moderate
screenshot_15815_jpg.rf.509aca1dc01d351507b4600bf967a847.jpg,6,Low
35 (62).jpg,6,Low
screenshot_15205_jpg.rf.b0f42755e701d07bf4e5cc3b17d62379.jpg,1,Low
39 (15).jpg,3,Low
35 (116).jpg,1,Low
image85_png_jpg.rf.f550e45639ed70b446ed3463f2add9bc.jpg,1,Low
screenshot_149_jpg.rf.bde136cf5d0bc398d6dd9569a5826b34.jpg,5,Low
35 (108).jpg,2,Low
duque_de_caxias-2455_png_jpg.rf.9c781508aa471f79d9571df5df404b19.jpg,17,High
ant_sales-12175_png_jpg.rf.1505671073fd77dd41176871648069b3.jpg,7,Low
40 (8).jpg,0,Low
duque_de_caxias-1320_png_jpg.rf.737f18e9181c0c7b771a5a7e3eeea929.jpg,14,Moderate
duque_de_caxias-2610_png_jpg.rf.bd729eb3e7cd3cc6c069a9e66e838504.jpg,12,Moderate
screenshot_16994_jpg.rf.0c39b77976b205ce5567c56bb6139200.jpg,1,Low
screenshot_1937_jpg.rf.a981f367a83eb3c71b02126b51f6c853.jpg,3,Low
35 (63).jpg,2,Low
duque_de_caxias-1285_png_jpg.rf.837bcc5605e9f4a60a6ce1bf9193747e.jpg,12,Moderate
screenshot_2980_jpg.rf.3525299450c887d279660ba78017d0b3.jpg,23,High
screenshot_8794_jpg.rf.c0ca9bf8cda99d02bb34f33ee13d6d4b.jpg,0,Low
screenshot_7155_jpg.rf.35a027ef26421ff747863a5d883c3083.jpg,6,Low
screenshot_4_jpg.rf.b1e6c1e8514177ac3b72352841fe7532.jpg,6,Low
35 (58).jpg,5,Low
37 (31).jpg,0,Low
35 (21).jpg,0,Low
screenshot_11477_jpg.rf.9c867e02d062db81491d8be979bd56eb.jpg,6,Low
screenshot_10136_jpg.rf.95227b3b5cecb4bfda99f05fe5ea1567.jpg,7,Low
38 (4).jpg,0,Low
35 (43).jpg,0,Low
39 (29).jpg,0,Low
39 (3).jpg,1,Low
aguanambi-1680_png_jpg.rf.fede1a51e422cc8fd628a4846615f65f.jpg,20,High
39 (2).jpg,1,Low
37 (19).jpg,0,Low
screenshot_7766_jpg.rf.8b430f24fd50a1e629a2caf757e0af82.jpg,13,Moderate
screenshot_5365_jpg.rf.adde255fa4fb10198205d0f1d1f01f2a.jpg,6,Low
40 (6).jpg,5,Low
ant_sales-11145_png_jpg.rf.5ee060069cb237e7306aa67b00380dfa.jpg,4,Low
screenshot_3429_jpg.rf.1f0fddd36ee7c6caecb42bd25b9b9087.jpg,5,Low
image81_png_jpg.rf.30fe001de9837685fe47172bb2f705e4.jpg,9,Moderate
35 (131).jpg,2,Low
40 (727).jpg,1,Low
screenshot_5680_jpg.rf.b54614fe8ef57824f07aea1f25294871.jpg,13,Moderate
screenshot_34431_jpg.rf.de41bc1b90f2c4308de6b007dbcbda39.jpg,10,Moderate
39 (9).jpg,0,Low
screenshot_11626_jpg.rf.3b9c72b920b6c1ed282e261dc40e2d31.jpg,9,Moderate
38 (2).jpg,0,Low
35 (94).jpg,6,Low
35 (8).jpg,0,Low
image55_png_jpg.rf.c59a99ec27127c39452f1ea66e7d61c5.jpg,6,Low
35 (15).jpg,1,Low
screenshot_2535_jpg.rf.43c98bc5595382088071ec1f10445faf.jpg,8,Moderate
image35_png_jpg.rf.1fa3af77bef2187945da485e099b22bd.jpg,15,Moderate
35 (136).jpg,2,Low
screenshot_5813_jpg.rf.e13418cf6416d2d2dce66fd1c35c579c.jpg,5,Low
35 (54).jpg,3,Low
37 (37).jpg,7,Low
35 (138).jpg,4,Low
ant_sales-10505_png_jpg.rf.fdecaeab0dfbdb686fd11aefc7ab74e7.jpg,8,Moderate
37 (17).jpg,0,Low
35 (115).jpg,0,Low
ant_sales-12140_png_jpg.rf.2e4a2424acb5752b124999b669766e94.jpg,5,Low
35 (80).jpg,2,Low
35 (78).jpg,1,Low
aguanambi-4540_png_jpg.rf.0a1d526d5508f4c7fe815c356babea4d.jpg,24,High
35 (101).jpg,0,Low
aguanambi-4725_png_jpg.rf.4f13138d101d94e78ca94dd53bb4779b.jpg,16,High
duque_de_caxias-1880_png_jpg.rf.f341c902790abfe90d3173e36c52408c.jpg,18,High
35 (102).jpg,0,Low
image30_png_jpg.rf.c459ecd0d8922c9379bfc699052182d8.jpg,7,Low
35 (92).jpg,6,Low
40 (726).jpg,0,Low
screenshot_16709_jpg.rf.e5f7f17be1b8324a08bfd8575cc9efaf.jpg,8,Moderate
36 (5).jpg,0,Low
aguanambi-3390_png_jpg.rf.e162de23d695e4152f1d15c07646418e.jpg,24,High
38 (6).jpg,1,Low
35 (66).jpg,1,Low
screenshot_37264_jpg.rf.cfc1f6f34392575718f8e7a99c633b64.jpg,0,Low
ant_sales-2490_png_jpg.rf.dde58bf8a1f218286fa1f64b78e7bf1f.jpg,5,Low
image80_png_jpg.rf.34a09efa2db16fc828cdbe311bcbf330.jpg,7,Low
ant_sales-1815_png_jpg.rf.7743f5a03372d4c0928f0c6f23b0546b.jpg,3,Low
35 (48).jpg,0,Low
37 (20).jpg,0,Low
ant_sales-10015_png_jpg.rf.abb1bccc351dd4e0ee5a7ee0f41bcae8.jpg,9,Moderate
35 (13).jpg,1,Low
37 (21).jpg,0,Low
35 (72).jpg,6,Low
image96_png_jpg.rf.f07b64a94f8e0128ed6fa0004b7ef371.jpg,5,Low
duque_de_caxias-1870_png_jpg.rf.a5109b9808962afca755b1aeafe17613.jpg,13,Moderate
ant_sales-11615_png_jpg.rf.7eecf3a0f1731a6d4fb499156cac1507.jpg,8,Moderate
35 (53).jpg,4,Low
aguanambi-2125_png_jpg.rf.7ded3baa4a5760fe91f32e3dc0946b61.jpg,20,High
duque_de_caxias-1320_png_jpg.rf.7ee4622d9617fd8ad21028aa7f63c582.jpg,14,Moderate
ant_sales-11865_png_jpg.rf.9ac57aeec10378242d7b71ec470732a1.jpg,8,Moderate
35 (85).jpg,5,Low
37 (12).jpg,0,Low
39 (6).jpg,0,Low
duque_de_caxias-120_png_jpg.rf.537f1ac0f38167cebebe233913726611.jpg,19,High
screenshot_11194_jpg.rf.52e0c38f16273a1db4d5b6ccb3983ac1.jpg,28,High
ant_sales-11460_png_jpg.rf.e3569c9ca4f55ad39bdb9f18ae48240f.jpg,8,Moderate
40 (713).jpg,0,Low
35 (18).jpg,1,Low
screenshot_300_jpg.rf.4318af4c31fc81d9dfd8501bed1cb2b3.jpg,11,Moderate
image53_png_jpg.rf.013caaefa4713cb091ea92ff73c0ae67.jpg,16,High
35 (70).jpg,7,Low
duque_de_caxias-1755_png_jpg.rf.4baca34696f1d0904200d0c58e2344af.jpg,4,Low
duque_de_caxias-760_png_jpg.rf.87a86a72f6e8c3d07f4aea59e5ccfe30.jpg,9,Moderate
image62_png_jpg.rf.2b09194ea60415a31dd2323079bdf880.jpg,1,Low
image73_png_jpg.rf.542459ff113f00fcc89c0e0b150b411e.jpg,4,Low
40 (720).jpg,0,Low
image21_png_jpg.rf.cbee504d940e761db6ac355d7e75459e.jpg,10,Moderate
screenshot_2831_jpg.rf.c83e3b9638e5a2b6c3c7e88829e8c092.jpg,23,High
screenshot_0_jpg.rf.ecd6411b3a4ad4840d868affd0b6b2f7.jpg,5,Low
39 (28).jpg,0,Low
screenshot_8201_jpg.rf.4884eb4613cbeac757f6c16e2c6989c5.jpg,2,Low
duque_de_caxias-1480_png_jpg.rf.c7749490281879e2c8b39fd6d2f0101e.jpg,14,Moderate
37 (18).jpg,0,Low
duque_de_caxias-1325_png_jpg.rf.d077c5346d7b9d2b248a589b83978aaf.jpg,14,Moderate
35 (1).jpg,2,Low
image82_png_jpg.rf.d619a17465c637d145a9a364613f2d11.jpg,3,Low
35 (117).jpg,1,Low
screenshot_9391_jpg.rf.33421dd12ddbab55c2ae43b722415b4a.jpg,6,Low
40 (30).jpg,7,Low
ant_sales-10270_png_jpg.rf.b23a8859382f6e08ec767fe5934ce5e4.jpg,5,Low
35 (23).jpg,0,Low
40 (10).jpg,1,Low
screenshot_10434_jpg.rf.f883516c2fe87b81610b5b72603c4c78.jpg,10,Moderate
35 (133).jpg,0,Low
39 (21).jpg,0,Low
screenshot_4023_jpg.rf.f804c4c2311f7d06401bf123c0f07fb8.jpg,20,High
40 (717).jpg,0,Low
37 (1).jpg,3,Low
image31_png_jpg.rf.7c4a897e56fe5bd795568e4f936e3d0d.jpg,8,Moderate
35 (86).jpg,3,Low
ant_sales-11980_png_jpg.rf.0f28b76ba33f69d4fedae3e71f39d37f.jpg,4,Low
screenshot_598_jpg.rf.0e9299d9c105fbe5444a9f124824a128.jpg,30,High
image59_png_jpg.rf.b289a860a3c4cd29addc6a76ac5287b3.jpg,4,Low
screenshot_1790_jpg.rf.c5aa52e7f13464df9f29993d6bc54d1d.jpg,10,Moderate
35 (55).jpg,3,Low
ant_sales-11250_png_jpg.rf.273c60c64c593c73f27252114dc4a19e.jpg,7,Low
35 (106).jpg,0,Low
35 (130).jpg,2,Low
duque_de_caxias-555_png_jpg.rf.43cdcffa729c48465570809ffffa3af8.jpg,14,Moderate
36 (12).jpg,0,Low
image21_png_jpg.rf.83406cc09d38698bf7073e1e379fdd7d.jpg,10,Moderate
35 (39).jpg,1,Low
aguanambi-4570_png_jpg.rf.da57386c53c9e7b758754e132e54a41d.jpg,19,High
screenshot_29364_jpg.rf.8405af54021956e21c6370a2dc84cf5b.jpg,2,Low
40 (721).jpg,0,Low
screenshot_14906_jpg.rf.a9e8b666fa95292d6bab6c8d39fc5c2e.jpg,0,Low
35 (68).jpg,6,Low
35 (35).jpg,0,Low
duque_de_caxias-1555_png_jpg.rf.9ae644ab3412e8169895f8bcc6a9067b.jpg,29,High
35 (119).jpg,1,Low
35 (91).jpg,5,Low
35 (65).jpg,4,Low
39 (38).jpg,3,Low
screenshot_3576_jpg.rf.5b6d5dfe5490b5c85191ab42b0239e16.jpg,32,High
screenshot_36518_jpg.rf.0518486725746279ff2eb223ac6fbb5c.jpg,3,Low
screenshot_8496_jpg.rf.cac958b65223d70b78142091b9721f1a.jpg,2,Low
image63_png_jpg.rf.20446a41b261c4064c9dd960e1a5b444.jpg,2,Low
35 (2).jpg,3,Low
35 (98).jpg,0,Low
ant_sales-1830_png_jpg.rf.7c8ebaca6675cfaeac73371ffdddb743.jpg,2,Low
40 (723).jpg,0,Low
36 (2).jpg,1,Low
duque_de_caxias-15_png_jpg.rf.f17f4bfd0b95c95ea830b43031ddd5df.jpg,17,High
35 (6).jpg,0,Low
duque_de_caxias-2760_png_jpg.rf.0a91eb87ee2021d9ab7a8c995e77e4e6.jpg,11,Moderate
screenshot_596_jpg.rf.c02e5c14499c9eb220d340a21f3527c5.jpg,35,High
ant_sales-11125_png_jpg.rf.a631308f89c8f95f7eacece088b8cb15.jpg,5,Low
screenshot_11790_jpg.rf.be1e04fb2f3e951c5d81d27325fddf41.jpg,28,High
screenshot_5365_jpg.rf.4ffc3de5ea67649067497f222107d961.jpg,8,Moderate
40 (9).jpg,2,Low
aguanambi-3820_png_jpg.rf.6e751af22bf6357373f1e31a064b0a9f.jpg,20,High
35 (31).jpg,1,Low
40 (730).jpg,0,Low
40 (707).jpg,2,Low
40 (29).jpg,12,Moderate
screenshot_2831_jpg.rf.efa61419402d68fdd223bf84c7140fe1.jpg,9,Moderate
duque_de_caxias-995_png_jpg.rf.8eb6ae806d383a68998e792fa8941d34.jpg,8,Moderate
aguanambi-1100_png_jpg.rf.8b7574e1c4f3fd7b654c2a693404fd2d.jpg,19,High
40 (714).jpg,0,Low
35 (124).jpg,0,Low
40 (703).jpg,0,Low
40 (11).jpg,0,Low
37 (34).jpg,1,Low
image76_png_jpg.rf.ab816fbddf112f3f5dccd0b0d8e5a6cb.jpg,0,Low
39 (34).jpg,0,Low
36 (9).jpg,0,Low
screenshot_12684_jpg.rf.dd8d4ebfc76f293ed365bb5c2594574c.jpg,15,Moderate
39 (16).jpg,3,Low
ant_sales-2615_png_jpg.rf.0ceaf2af2a89d4080000f35af44d1b03.jpg,5,Low
screenshot_4172_jpg.rf.ef42a95150aae8de72428d54e1b7a871.jpg,21,High
aguanambi-1240_png_jpg.rf.7e110b54d205ef0537ddc5dec81a79c2.jpg,17,High
ant_sales-1985_png_jpg.rf.be0e128eed647f3ad17bf908db8455f4.jpg,7,Low
35 (17).jpg,0,Low
40 (711).jpg,1,Low
40 (710).jpg,2,Low
image69_png_jpg.rf.adcccb5a86aabbab3302f249ae58ab59.jpg,1,Low
ant_sales-10005_png_jpg.rf.7825d1d05d59748c0f60f3de68a936bb.jpg,8,Moderate
ant_sales-11425_png_jpg.rf.88e604c56441dff191cf3e94c1e1f778.jpg,10,Moderate
40 (13).jpg,1,Low
35 (38).jpg,0,Low
40 (18).jpg,1,Low
aguanambi-4855_png_jpg.rf.f176d5307d277d914f010da8afaeb1c8.jpg,16,High
image78_png_jpg.rf.2ad49f5044234f42068aca3f6d0cdfb3.jpg,6,Low
35 (37).jpg,0,Low
image92_png_jpg.rf.cc125f2b0f4144d505ad18fb175de063.jpg,2,Low
screenshot_12673_jpg.rf.e8f3e418b0bc9c359b0c9064bb2e8383.jpg,0,Low
39 (19).jpg,1,Low
35 (125).jpg,0,Low
ant_sales-11010_png_jpg.rf.2a7bef22e0fe04d1d315ea4d595df1c2.jpg,5,Low
35 (137).jpg,4,Low
duque_de_caxias-1585_png_jpg.rf.bc739a14475d595292a45b72bc970f27.jpg,19,High
image50_png_jpg.rf.a8cef7c79d333922adadc38fd7b8134a.jpg,13,Moderate
duque_de_caxias-695_png_jpg.rf.848ef761062610a83c80e17d7ec549fd.jpg,16,High
screenshot_447_jpg.rf.104e53fba749790e15549ee781b2fe03.jpg,33,High
39 (25).jpg,0,Low
35 (112).jpg,0,Low
39 (24).jpg,4,Low
ant_sales-2355_png_jpg.rf.c0852ed0459970f3609fd92fa941f23d.jpg,6,Low
37 (33).jpg,7,Low
35 (134).jpg,0,Low
ant_sales-10155_png_jpg.rf.cd933d18c41046baa122d9fb6e768179.jpg,6,Low
ant_sales-10580_png_jpg.rf.bc97a488d81f01f82e0d25b6cf1dc930.jpg,4,Low
35 (52).jpg,5,Low
35 (96).jpg,1,Low
screenshot_9852_jpg.rf.92779155609ca55851c9fe6a19631577.jpg,32,High
39 (18).jpg,4,Low
39 (22).jpg,0,Low
35 (128).jpg,2,Low
39 (31).jpg,1,Low
ant_sales-10710_png_jpg.rf.acb2b8b2da38205c313e954d051285ae.jpg,6,Low
screenshot_33984_jpg.rf.d9e792ea15202d4adf7168aa5048b3ac.jpg,2,Low
35 (97).jpg,0,Low
aguanambi-2250_png_jpg.rf.03ef2afb1ddf6d6fb42c62429ebbcea1.jpg,16,High
39 (17).jpg,8,Moderate
40 (3).jpg,1,Low
ant_sales-2580_png_jpg.rf.48a22f40df0ad885e0766c0d62b16d3d.jpg,7,Low
ant_sales-10565_png_jpg.rf.d6b0384f52f30c7b07536cd36def88e4.jpg,3,Low
37 (7).jpg,0,Low
screenshot_13120_jpg.rf.5f1b7814aa402d7e03a005b955eaae10.jpg,1,Low
35 (7).jpg,0,Low
37 (10).jpg,8,Moderate
duque_de_caxias-620_png_jpg.rf.3c794894a576d0d6355379613c2dadc5.jpg,14,Moderate
ant_sales-2185_png_jpg.rf.ef9570c136e91a3119c09d600c86a4a3.jpg,7,Low
ant_sales-11530_png_jpg.rf.e449371b937082607fbbeb4ec09726c2.jpg,9,Moderate
40 (728).jpg,1,Low
ant_sales-1845_png_jpg.rf.7491020bdbef3f47e8b56c997c169069.jpg,5,Low
35 (3).jpg,3,Low
duque_de_caxias-2335_png_jpg.rf.fa235c9b4bca87050d4a3a4c93585df4.jpg,13,Moderate
aguanambi-3860_png_jpg.rf.ca4146458524106c60359a59d42080b4.jpg,21,High
screenshot_15950_jpg.rf.464c86e7816fe125ea137a3c01f55a87.jpg,5,Low
aguanambi-1095_png_jpg.rf.4d9f0370f1c09fb2a1d1666b155911e3.jpg,22,High
40 (23).jpg,0,Low
screenshot_1639_jpg.rf.0a09ac7a5b8a784e06bb4cfac7528893.jpg,1,Low
aguanambi-5280_png_jpg.rf.ef5cf76f24a11e3776a71203138f540d.jpg,17,High
duque_de_caxias-2445_png_jpg.rf.a5b342ba9374a1f4b81fdc8bfb373602.jpg,14,Moderate
35 (75).jpg,1,Low
image58_png_jpg.rf.80285cd4d710d83c7d5c2e6d1374a52e.jpg,1,Low
39 (14).jpg,2,Low
39 (23).jpg,0,Low
ant_sales-10055_png_jpg.rf.75991e9ec51b134e7d1296d7775e8e0f.jpg,8,Moderate
37 (30).jpg,0,Low
35 (110).jpg,1,Low
40 (15).jpg,0,Low
ant_sales-1045_png_jpg.rf.a4819b54dede09cef62664156b2e767b.jpg,7,Low
36 (3).jpg,0,Low
35 (129).jpg,2,Low
ant_sales-11030_png_jpg.rf.5abd8287f8cc969e0644f73cf40142d5.jpg,4,Low
image79_png_jpg.rf.0a0da7876cf851c2478f518fcaba76cb.jpg,7,Low
screenshot_5366_jpg.rf.437880e69614f734fe9dd4a0c2c55d58.jpg,5,Low
image74_png_jpg.rf.a14c133aa13eb2152dd54e16dbbb0112.jpg,4,Low
35 (56).jpg,1,Low
39 (20).jpg,0,Low
37 (3).jpg,9,Moderate
40 (26).jpg,0,Low
image67_png_jpg.rf.fa5d34c89cd6ec63e65c786ad2bc65fd.jpg,5,Low
ant_sales-1085_png_jpg.rf.2140c135f44f45d103ff6c371a62d35e.jpg,3,Low
aguanambi-4130_png_jpg.rf.4a11f5840001e2dafed224d41a79b33c.jpg,15,Moderate
40 (708).jpg,2,Low
35 (16).jpg,1,Low
40 (706).jpg,0,Low
screenshot_11939_jpg.rf.dbdf84b072a4be686e552190a5eccdab.jpg,22,High
aguanambi-2420_png_jpg.rf.12949ad5e139564e761cd26f2cd07f3c.jpg,13,Moderate
duque_de_caxias-2630_png_jpg.rf.79564bce05f3be8799a632e56cf1be41.jpg,10,Moderate
screenshot_9242_jpg.rf.ded3309a7def92abf88b3e4c9cede1d1.jpg,3,Low
duque_de_caxias-405_png_jpg.rf.cdb0860def4d0b3a15ecc51682271f22.jpg,26,High
36 (7).jpg,0,Low
35 (41).jpg,0,Low
aguanambi-2670_png_jpg.rf.60530a426ae98c3e8e6ffcad678cfdae.jpg,19,High
40 (722).jpg,0,Low
40 (702).jpg,0,Low
ant_sales-12180_png_jpg.rf.54b493e11169f01e34bb18f8aa01b088.jpg,9,Moderate
ant_sales-10050_png_jpg.rf.2d145f0661410125bf58d203630d6fa3.jpg,7,Low
duque_de_caxias-2615_png_jpg.rf.849d17c3fd8df1642cab39074aec90ab.jpg,10,Moderate
37 (11).jpg,3,Low
39 (32).jpg,1,Low
screenshot_25490_jpg.rf.b3bc4380f62f8aea24376213c9d5589b.jpg,1,Low
duque_de_caxias-1460_png_jpg.rf.6f3adf09f585ad269e88f737da6f9192.jpg,22,High
ant_sales-10435_png_jpg.rf.b30c89929859a5d03cc961f5b345390c.jpg,7,Low
duque_de_caxias-2205_png_jpg.rf.acf7f960765a466230ae224f259fccfd.jpg,11,Moderate
aguanambi-3565_png_jpg.rf.a8e3ff61869acbaab7d4554782ef6c0b.jpg,15,Moderate
ant_sales-11175_png_jpg.rf.d6e62ee96c0a51a6cb2ccf44d7f7b1fb.jpg,9,Moderate
ant_sales-11855_png_jpg.rf.559a0a288ea195ba25ccd6b66a54ad09.jpg,5,Low
screenshot_9093_jpg.rf.1d2f799b5a57217ceda298f977e4cfc7.jpg,5,Low
39 (26).jpg,3,Low
aguanambi-2680_png_jpg.rf.305f12470094eb2510b876de1b5f8eb4.jpg,19,High
screenshot_9554_jpg.rf.bb12385e91addae9bab7322ce72488e7.jpg,29,High
image91_png_jpg.rf.10844b97253f7b4aee90dbd7e3bf6b3a.jpg,3,Low
35 (46).jpg,0,Low
